Id,Name,2023-08-15 00:02:23
21202238,삼성전자 비스포크 글램+새틴 RF60C9013 (화이트(글램)+베이지(새틴)),"2,190,000"
27548702,삼성전자 비스포크 키친핏 글램 RF60C9011AP (색상선택형),"2,254,070"
21701201,삼성전자 비스포크 키친핏 바이브 RF60C9011 (브라우니실버),"2,225,770"
21701195,삼성전자 비스포크 키친핏 코타 RF60C9011 (모닝블루),"2,225,770"
21701156,삼성전자 비스포크 키친핏 코타 RF60C9011 (차콜),"2,225,770"
21520868,삼성전자 비스포크 키친핏 패널별도 RF60C9011AP (색상선택형),"2,179,710"
21500960,삼성전자 비스포크 키친핏 새틴 RF60C9011,"화이트_2,650,490"
21500939,삼성전자 비스포크 키친핏 코타 RF60C9011,"화이트_2,225,770"
20775416,삼성전자 비스포크 키친핏 코타 RF60C9011AP (색상선택형),"2,225,770"
20775344,삼성전자 RT38CG6024S9,"785,000"
20741747,삼성전자 RS84C50E0CE,"1,849,990"
21563570,삼성전자 비스포크 키친핏 새틴 RF60C9013AP + RQ42C94E2AP (색상선택형),"4,863,040"
21205493,삼성전자 비스포크 키친핏 패널별도 RR39A7605AP + RZ32A7605AP + RQ32C76A2AP (색상선택형),"2,859,140"
21030233,삼성전자 비스포크 키친핏 글램 RR39A7605 + RZ32A7605 + RQ32A7612 (화이트),"4,394,300"
20727341,삼성전자 비스포크 키친핏 코타 RF60B91C3AP + RQ42C94L3AP (색상선택형),"3,559,000"
20727269,삼성전자 비스포크 키친핏 패널별도 RF60B91C3AP + RQ42C94L3AP (색상선택형),"3,798,990"
20726531,삼성전자 비스포크 키친핏 코타 RR39A7605AP+ RZ32A7605AP+ RQ32C7612AP (색상선택형),"2,544,500"
20726471,삼성전자 비스포크 키친핏 글램 RR39A7605AP+ RZ32A7605AP+ RQ32C7612AP (색상선택형),"2,515,910"
20726054,삼성전자 비스포크 키친핏 코타 RF60C9013AP + RQ42C94E2AP (색상선택형),"4,244,690"
20725991,삼성전자 비스포크 키친핏 글램 RF60C9013AP + RQ42C94E2AP (색상선택형),"4,385,000"
20725838,삼성전자 비스포크 키친핏 코타 RR39A7605AP + RZ32A7605AP + RQ32C76A2AP (색상선택형),"2,635,220"
20725640,삼성전자 비스포크 키친핏 글램 RR39A7605AP + RZ32A7605AP + RQ32C76A2AP (색상선택형),"2,635,220"
20658842,삼성전자 비스포크 키친핏 패널별도 RR40C7995AP (색상선택형),"1,196,200"
